Name,w2v_0,w2v_1,w2v_2,w2v_3,w2v_4,w2v_5,w2v_6,w2v_7,w2v_8,w2v_9,w2v_10,w2v_11,w2v_12,w2v_13,w2v_14,w2v_15,w2v_16,w2v_17,w2v_18,w2v_19,w2v_20,w2v_21,w2v_22,w2v_23,w2v_24,w2v_25,w2v_26,w2v_27,w2v_28,w2v_29,w2v_30,w2v_31,w2v_32,w2v_33,w2v_34,w2v_35,w2v_36,w2v_37,w2v_38,w2v_39,w2v_40,w2v_41,w2v_42,w2v_43,w2v_44,w2v_45,w2v_46,w2v_47,w2v_48,w2v_49,w2v_50,w2v_51,w2v_52,w2v_53,w2v_54,w2v_55,w2v_56,w2v_57,w2v_58,w2v_59,w2v_60,w2v_61,w2v_62,w2v_63,w2v_64,w2v_65,w2v_66,w2v_67,w2v_68,w2v_69,w2v_70,w2v_71,w2v_72,w2v_73,w2v_74,w2v_75,w2v_76,w2v_77,w2v_78,w2v_79,w2v_80,w2v_81,w2v_82,w2v_83,w2v_84,w2v_85,w2v_86,w2v_87,w2v_88,w2v_89,w2v_90,w2v_91,w2v_92,w2v_93,w2v_94,w2v_95,w2v_96,w2v_97,w2v_98,w2v_99
10 Downing Street,-0.004538159,0.004197013,0.0008490299,0.0030004762,0.0027270128,-0.0026833282,0.0017000416,0.0063909627,-0.0027582808,-0.0028801495,0.0028934407,-0.0023748493,0.0007973941,0.0022279993,0.0036678761,-0.00070677744,0.0060199304,0.0034317672,-0.0072947387,-0.0024117115,0.0010687539,-0.0015545487,0.0053521576,-0.0023645007,0.0029003327,-0.00072064577,0.0020634918,0.0049420367,-0.0035617307,0.0017975366,0.002348822,-0.004345392,-0.0013517856,-0.004507674,-0.00088857586,0.002259191,0.0061076083,-0.0005463235,0.00040523568,0.0033640694,-0.00078496826,0.0010261622,-0.0033451468,-8.8722445e-05,0.0021126762,0.003693818,0.00058854953,0.00063278666,-0.00014573708,0.001926936,0.001421005,-0.002019136,-0.00514848,-0.0031609507,-0.002007518,-0.00042002244,0.0036384976,0.0011538826,-0.0013321353,0.0023875562,-0.0013895169,0.0011104107,0.001960205,-0.0031126065,-0.0002658195,0.0030734062,0.003451231,0.0034472728,-0.0012634788,0.0014848835,0.002816718,0.00022824458,0.0019662215,0.0023770244,-0.0003579316,-0.00059909513,0.0011811968,0.0018843636,-0.0015458654,-0.0027176957,-0.0037440434,0.0010673562,0.0015572263,0.00078279723,-0.0011942369,-0.0021707665,0.0025302584,-0.0043372554,0.0015915886,-0.0016617717,-0.0022559676,0.0008913896,0.0035906017,-0.0037779459,0.006299854,0.0032895196,0.0021339997,-0.0040621753,-0.0006328788,-0.00041742367
13 Dhaba,-0.004910087,0.0021467651,0.0051888246,0.007612289,-0.00073850085,-0.0068993475,0.0038430672,0.007870024,-0.0042875917,-0.005055543,0.003434931,-0.005383419,-0.005047174,0.0070679365,-0.00067236053,0.002690916,0.0049997633,0.0044980077,-0.0062252255,-0.005504684,0.004849909,0.0003930889,0.0077928165,-0.0050623887,0.0066741793,-0.00025937206,-0.0031141555,0.0052625802,-0.004799462,0.0013980744,0.0015237066,-0.0029759174,0.004553546,-0.0066657765,0.0006193741,0.00080371805,0.0077102305,0.00020680134,0.004783914,0.0022843357,-0.0005635619,-0.0012924122,-0.009291033,-0.0022288486,-0.0014684316,0.0037396245,-0.0009561309,0.003855641,0.0033934824,0.005543083,-6.137742e-05,-0.0026917488,-0.002016229,0.0023614238,0.003666093,0.002129957,0.0070962943,-0.00022835773,-0.0022030415,0.008719317,-0.005080237,0.0016278279,-0.0041898657,-0.0064149946,0.0009555106,0.0042345882,0.003473867,4.8714224e-05,0.0021329834,0.004788129,0.0007627652,-0.00017507654,0.0023154262,-0.0012466293,0.001938251,-0.0030203578,0.00021463586,-0.0016396365,0.0011941945,-0.006424549,-0.005401982,0.0033074617,0.0050830543,0.00037030387,-0.002272567,-0.00010238966,0.0029606007,-0.007559045,2.787006e-05,0.0012775017,0.001415386,-0.0005752143,0.0029469996,-0.004147765,0.003690162,0.004075839,-0.0016589202,-0.004658114,-0.004156554,0.005462707
"3B's - Buddies, Bar & Barbecue",0.0013364649,0.0042942753,0.003367231,0.0044088396,-0.0027143685,-0.0017210622,0.002630897,0.004351325,-0.0011875948,-0.0028978938,0.00016082556,9.921612e-05,-0.00035643124,0.00363853,-0.0019608145,0.0026791005,0.0063036927,0.002686568,-0.0063051013,-0.0056685368,0.00046131143,0.0013135804,-0.00019578869,-0.005337369,0.00082095375,0.0014416103,-0.00458645,-0.0005558594,-0.0012414115,0.0046625026,0.00046156297,-0.0031340898,0.0011692891,-0.0051465584,-0.002372762,0.004406121,0.003397594,-0.0014941833,0.0020172265,-0.0026248577,-0.0001798837,0.00059853005,-0.0020857514,0.0003376715,-0.0020332462,-0.00034263637,-0.0014494166,-0.002082293,0.0021434007,0.0022783014,-0.0029757507,-0.0034234151,-0.0054755663,-0.0005426456,0.0032577429,0.00222148,0.0026876535,-0.00043401204,-0.0013421172,0.0038975142,-0.0014125782,-0.0021246667,-0.0013148575,-0.0026043614,0.0026804225,0.0053732945,0.0023570247,-0.0033569639,-0.0026159598,-0.00015493855,-0.0023189196,-0.0015340362,7.238204e-05,-0.002588827,0.00019028562,-0.0019332326,-0.00073248986,0.0017730594,7.3837946e-05,-0.0031491283,-0.0023220363,0.0034209015,0.0028180007,0.0014850195,-0.0005846488,-0.00026395137,0.0025900234,-0.0027054907,-0.0010568777,-0.000561218,-0.00096066314,-0.00049832155,0.0013670096,-0.00088929234,-0.0007318669,-0.0026693302,-0.0053139646,0.0017196621,-0.0021232935,0.0063037537
AB's - Absolute Barbecues,0.001336465,0.004294276,0.0033672312,0.004408839,-0.0027143685,-0.0017210623,0.0026308969,0.0043513244,-0.0011875948,-0.0028978938,0.00016082556,9.9216006e-05,-0.00035643124,0.0036385302,-0.0019608145,0.0026791007,0.006303693,0.0026865678,-0.0063051013,-0.0056685368,0.00046131166,0.0013135804,-0.00019578857,-0.005337369,0.00082095363,0.0014416103,-0.00458645,-0.0005558594,-0.0012414115,0.004662503,0.000461563,-0.0031340895,0.001169289,-0.0051465584,-0.002372762,0.0044061216,0.0033975937,-0.0014941833,0.0020172265,-0.0026248577,-0.00017988379,0.00059853005,-0.0020857514,0.0003376715,-0.0020332464,-0.00034263622,-0.0014494166,-0.002082293,0.0021434007,0.0022783014,-0.002975751,-0.0034234151,-0.0054755663,-0.0005426456,0.0032577429,0.00222148,0.002687653,-0.00043401204,-0.0013421172,0.003897514,-0.0014125782,-0.0021246667,-0.0013148574,-0.0026043614,0.0026804227,0.0053732945,0.0023570247,-0.0033569636,-0.0026159596,-0.00015493855,-0.0023189196,-0.0015340364,7.238219e-05,-0.002588827,0.00019028562,-0.0019332326,-0.00073249,0.0017730591,7.383793e-05,-0.0031491285,-0.0023220363,0.0034209017,0.0028180007,0.0014850195,-0.0005846488,-0.0002639514,0.0025900234,-0.0027054907,-0.0010568777,-0.0005612179,-0.00096066314,-0.00049832155,0.0013670096,-0.0008892922,-0.00073186704,-0.0026693302,-0.0053139646,0.0017196621,-0.0021232935,0.0063037537
Absolute Sizzlers,-0.0023783168,0.00092157786,-0.00079569017,-0.0012244772,0.006258478,0.0015828414,-0.0013308419,0.005905084,-0.0003510459,-0.00046111285,2.0409003e-05,-0.0024434337,0.0018369538,0.0011785078,0.0023689202,0.00027474854,0.0016257344,0.0015192814,-0.00623592,-0.0025844427,0.0010598929,-5.9647486e-05,0.002968638,0.0017626891,-0.00053534406,0.0023524927,0.007138912,-0.00017389019,-0.003051583,0.0010382475,0.0031651948,-0.0052891024,-0.0043498557,-0.004201012,-0.0006967724,0.00409308,0.0046723974,-0.001919042,-0.005464258,-0.000103250495,-0.00087004335,-0.00025390057,-0.00057676114,0.0034269125,0.0062049474,0.0031338863,-0.001217035,-0.003658048,0.00024591386,0.00018059339,0.000198638,-0.0033872873,-0.005240142,-0.0046039685,-0.004446316,-0.00092711457,-0.0017178655,-0.0016188552,-0.0026581872,-0.0025348505,0.0030799669,0.0018843567,0.006053055,0.0018514582,-0.0010295861,0.0026887332,-0.00075215305,0.0071480833,-0.0010917566,0.0005380533,0.0056272894,0.003233633,0.0013689836,0.0034372357,-0.0015791367,-0.0018818261,0.0042320825,0.0014870493,-5.4831227e-05,-0.0007841503,-0.0012087483,-0.003836129,-0.004517891,-0.0018060956,-0.0026523566,-0.0027033787,-0.0010193866,-0.0024160503,0.00037892783,-0.004469094,-0.0016138866,0.0031920515,0.0057259225,4.8736885e-05,0.004068976,0.0041000214,0.00086969446,-0.0031590147,-0.0006364525,-0.0027993834
Al Saba Restaurant,-0.0043751583,0.00042497777,0.0022525054,-0.0014904967,-0.0036273627,-0.003195199,0.0015268525,0.0047069,-0.0044400427,-0.003615858,-0.0013363849,-0.0023443173,-0.0017205362,0.0017374497,0.0012152791,0.0002604903,0.0032007133,0.0022471834,-0.0040157265,-0.004340879,-0.001133429,-0.000449177,0.0026419582,-0.002666074,-0.00027396064,-0.0010051877,0.0012281012,0.00016873078,-0.0011688228,0.00096365943,0.00569951,-0.0024772813,-0.0017815591,-0.004241757,-0.00065803697,-0.000832746,0.006409181,0.0004708475,0.0025609755,0.0019414866,0.0014876741,-0.0010412397,-0.0018492555,-0.0024635668,0.0015050317,-0.0010876717,0.00059641624,0.0020035477,0.0015898487,0.0011261533,0.0022401204,-0.0009503691,0.0007807382,0.002413608,-0.0020714942,0.002817699,0.0061898897,0.0009476592,-0.0010493974,0.0018028258,0.00124419,-0.00032543985,0.0011237765,-0.0013277521,-9.363329e-05,0.0042666295,0.0016941802,-0.0017322482,-0.0009848577,0.0039195605,0.00041451785,0.0010725622,0.0025955131,4.4334836e-05,0.0016925815,0.0018932465,0.0018329051,0.0018787334,-0.00016277212,-0.00088209193,0.00043827007,-0.001267578,0.00068242854,0.00040468582,-6.119224e-05,-0.0018578965,-0.002518475,-9.081047e-05,0.00072887045,0.0033322333,0.0020577323,-0.0003170891,0.00032552727,-0.0038765052,0.004049471,0.0027328387,0.0034102418,-0.0037257671,0.0015647332,-0.0004514639
American Wild Wings,-0.00039970092,-0.0040914617,-0.0029324736,0.0037449405,0.0030753042,-0.0021150832,-0.00086530595,0.005383966,-0.003270335,-0.0021367501,-0.003993376,-0.0035486748,-0.001869708,0.0051570674,-0.00041280323,0.004044651,-0.002355273,0.0013919455,0.005479115,-0.0029018181,0.0038369652,0.00021747305,-0.0012972087,0.00289906,0.0037255667,0.002446102,-0.003459967,0.0038059547,-0.0001061216,-0.002000353,0.004367725,0.0012409432,-0.0006757489,-0.0028003813,0.0012467647,0.0017855389,0.003166591,0.0011979712,-0.0019759722,-0.0005337711,0.0020197027,-0.0036186061,-0.0042598294,0.0025424846,0.0009788255,-0.00068070844,-0.0026034056,3.538888e-05,0.00472583,-0.000785073,0.0011467322,-0.0014785043,-0.00011282451,0.0028503947,0.0020578348,0.0012701886,-0.0053164777,-0.0053292327,0.0014692752,-0.0013009089,-0.00035206188,0.0028286392,0.005291899,0.0037147265,-0.001635758,0.0024607019,-0.0004990672,0.0029685695,-0.00066868204,0.0039376044,0.0008799791,0.0036640659,-9.5039235e-05,-0.002191703,0.001490628,-0.0012303977,-0.0005746349,0.00084935705,0.0033474662,-0.0026148106,-0.0036155717,-0.0034087475,-0.00021370854,-0.00059373287,-0.0015053585,-0.0018834204,-4.261986e-05,0.00031920712,-0.00034950153,-0.0020567067,0.0021359597,0.0006085489,0.0029302607,0.004428218,0.002452768,-0.002674612,-0.0017043728,0.0011102263,0.0013094844,0.003948356
Amul,-0.00214933,0.0004569815,-0.0014888948,0.001976023,-0.0009964084,-0.0027180705,0.0016465004,0.004544975,-0.002383412,-0.002850563,0.00094626495,-0.0020089087,0.002518538,0.0048235664,0.0033228837,-0.0012228397,-0.0036788855,-0.00096328807,-0.0024345417,0.0020444635,0.001124031,0.004246077,0.0019496399,0.0009383598,0.0025958202,-0.002554711,0.0039008772,-0.00798035,-0.0007953707,-0.00015263601,0.0011472226,-0.0051892702,0.003165139,-0.0014400985,-0.0029821554,0.00553057,-0.0041774167,0.0017020423,0.0034354606,-0.004256418,-0.0014431212,0.00050997286,0.0016798956,-0.002389581,0.00398355,0.0021827333,-0.00017545949,0.0013901641,-0.0033231133,-0.0019797764,-0.003198928,0.000989603,-0.0015715621,-0.0045694197,0.005384406,-0.00013224913,0.00042068315,-0.0010689319,0.004288446,-0.0064475555,-0.0044768825,-0.0033470904,0.002904854,0.001559353,-0.0050461595,0.0034254752,-0.0023415538,0.0015208743,-0.0043329378,0.002483839,0.0022242076,-0.00023617285,0.0012874462,0.0027280103,0.0034352832,-0.0005424985,-0.0041354694,-0.0040501086,-0.0034884056,0.0022756748,0.0019734653,-0.004466319,0.0046813875,-7.458023e-05,0.007789178,0.0016270106,0.0020771127,-0.0023010205,0.0028879847,0.005645203,-0.0034688665,-0.0035228776,0.0050750133,-0.0035527812,-0.0006365969,0.0066215787,-0.003868565,-0.001201977,0.0042680693,-0.00049900124
Arena Eleven,-0.008299492,0.009328226,-0.0001979198,-0.0019104343,0.004648517,-0.0041499203,0.00277499,0.0070162737,0.005995575,-0.00755025,0.009382904,0.004589216,0.003961084,-0.006196113,0.008487527,-0.0021403735,0.008860148,-0.005327322,-0.008156785,0.00670827,0.0016833048,-0.0021776732,0.009571083,0.009404114,-0.009749759,0.0025068996,0.00610255,0.003919505,0.0019757927,0.00043184185,0.00073841214,-0.003879629,-0.0071037086,-0.0021443334,0.003900848,0.008867585,0.0092878,-0.0059404606,-0.009404395,0.0097598275,0.003468288,0.005100355,0.0062066615,-0.0027542906,0.0073590414,0.0027964073,0.0028650567,-0.002405669,-0.0030753785,-0.0023461801,0.004299513,4.4346943e-05,-0.009542368,-0.00963729,-0.0061561153,-9.877526e-05,0.0020494983,0.009413955,0.0055710473,-0.004257772,0.00027435273,0.004951168,0.0077486397,-0.0011380414,0.0042832526,-0.005742808,-0.00079099,0.008157308,-0.0024010486,-0.009593165,0.005772046,-0.0039189192,-0.0011469377,0.01000261,-0.0022204546,-0.0047542276,-0.0053255274,0.006995781,-0.005719701,0.002046542,-0.0053239283,0.0061057443,0.0043412643,0.0026191345,-0.0014717764,-0.0027489592,0.008991946,0.005180994,-0.0021265845,-0.009434316,-0.007393527,-0.0010419588,-0.00076231064,-0.002603764,0.009758163,-0.00043079164,0.005900038,-0.0074338396,-0.0024817304,-0.0055540013
Aromas@11SIX,-0.0052026347,0.0028064458,0.0009822913,0.0024394484,-0.0015894786,-0.0025514471,0.0004791498,0.0051714205,-0.0056706322,-0.00047821412,-0.0014334861,-0.0051582055,-0.0025594784,0.0024223845,-0.00057497254,-0.0028692384,0.00040496624,0.0039303596,-0.0040475302,-0.003129601,-0.0019112406,0.0002603231,0.0027949987,-0.0027083126,0.0016553879,-0.0020151704,0.0006285816,0.0029802439,-0.0029635127,0.0009502101,0.0018485289,-0.0058806757,-2.2076629e-05,-0.002951827,-0.002666098,0.003602519,0.005974925,0.00036651074,0.0014362466,0.001981192,0.0022989237,-0.002657752,-0.0067705633,0.001613801,0.00082343305,0.0033564265,-0.0017454003,0.0005528742,0.0006935838,-0.0002707622,-0.0001308992,-0.004024483,0.0012925186,0.002866818,-0.0028912206,0.0013636068,0.006179847,-0.0029730047,-0.0016919666,0.0026707212,0.000930128,-0.0010341827,0.00087006437,-0.0045113442,0.001244193,0.0029553126,0.0024907922,0.0034500216,-0.0013833983,0.002510291,-5.4915436e-05,0.0020639442,0.004549415,0.00012439777,0.0015186106,0.004016849,6.4384e-05,0.000387889,-0.00016439077,-0.003002712,-0.0021673266,-0.0020145422,0.0009683214,-0.0009216778,-0.002210684,-0.0018513404,-0.0021641632,-0.0042458614,0.0030624275,0.0029644705,0.0008040339,0.003425109,0.00024049208,-0.0049037393,0.003998506,0.0051092017,0.0015109235,-0.0016175347,0.0020150745,0.00079116446
